fn,anon_exec,authed_exec,svc_exec,is_trigger,mutates,gated_heur,bucket
biz_update_live_rsvp,1,1,1,0,1,1,B_MUT_GATED
biz_update_live_trip,1,1,1,0,1,1,B_MUT_GATED
biz_upsert_brand_hours,0,1,1,0,1,1,NOT_ANON
biz_venue_table_soft_delete,0,1,1,0,1,1,NOT_ANON
biz_waitlist_convert_to_reservation,0,1,1,0,1,1,NOT_ANON
biz_waitlist_mark_notified,0,1,1,0,1,1,NOT_ANON
bump_paystack_partner_split_attempt,1,1,1,0,1,0,A_MUT_UNGATED
business_cancel_event,0,1,1,0,1,1,NOT_ANON
business_discard_event_draft,0,1,1,0,1,1,NOT_ANON
business_discard_offering_drafts,0,1,1,0,1,1,NOT_ANON
business_end_event_ticket_sales,0,1,1,0,1,1,NOT_ANON
business_patch_event_taxonomy,1,1,1,0,1,1,B_MUT_GATED
business_patch_event_when,1,1,1,0,1,1,B_MUT_GATED
business_publish_event_draft,0,1,1,0,1,1,NOT_ANON
business_publish_rsvp_draft,1,1,1,0,1,1,B_MUT_GATED
business_publish_trip_draft,1,1,1,0,1,1,B_MUT_GATED
business_set_brand_pricing_defaults,1,1,1,0,1,1,B_MUT_GATED
business_set_pricing_switches,1,1,1,0,1,1,B_MUT_GATED
can_insert_message_into_conversation,1,1,1,0,0,0,C_RO_UNGATED
can_send,0,1,1,0,0,0,NOT_ANON
cascade_friend_decline_to_collabs,1,1,1,1,1,0,TRIGGER
cascade_friend_request_decline_to_links,1,1,1,1,1,0,TRIGGER
check_card_lock_in,1,1,1,1,1,0,TRIGGER
check_city_bbox_overlap,1,1,1,0,0,0,C_RO_UNGATED
check_invited_admin,1,1,1,0,0,0,C_RO_UNGATED
check_mutual_like,1,1,1,1,1,0,TRIGGER
check_pairing_allowed,1,1,1,0,0,0,C_RO_UNGATED
check_session_creation_allowed,1,1,1,0,0,0,C_RO_UNGATED
check_username_availability,1,1,1,0,0,0,C_RO_UNGATED
claim_notification_outbox,0,0,1,0,0,0,NOT_ANON
claim_support_ticket,0,0,1,0,1,0,NOT_ANON
cleanup_expired_undo_actions,1,1,1,0,1,0,A_MUT_UNGATED
cleanup_session_if_under_two_participants,1,1,1,1,1,0,TRIGGER
cleanup_stale_push_tokens,1,1,1,0,1,0,A_MUT_UNGATED
compute_taste_match,1,1,1,0,0,0,C_RO_UNGATED
convert_pending_invites_on_phone_verified,1,1,1,1,1,0,TRIGGER
convert_pending_pair_invites_on_phone_verified,1,1,1,1,1,0,TRIGGER
create_calendar_entries_on_lock,1,1,1,1,1,0,TRIGGER
create_default_notification_preferences,1,1,1,1,1,0,TRIGGER
create_preference_history,1,1,1,1,1,0,TRIGGER
create_subscription_on_onboarding_complete,1,1,1,1,0,0,TRIGGER
create_subscription_on_signup,1,1,1,1,1,0,TRIGGER
create_support_ticket,1,1,1,0,1,1,B_MUT_GATED
credit_referral_on_friend_accepted,1,1,1,1,1,0,TRIGGER
cron_refresh_admin_place_pool_mv,1,1,1,0,0,0,C_RO_UNGATED
delete_notifications_on_entity_resolved,1,1,1,1,1,0,TRIGGER
derive_user_segment,1,1,1,0,0,0,C_RO_UNGATED
enforce_session_creation_limit,1,1,1,1,0,0,TRIGGER
enqueue_rsvp_pass,0,1,1,0,1,1,NOT_ANON
ensure_group_conversation_on_event_create,1,1,1,1,1,0,TRIGGER
ensure_group_conversation_on_session_create,1,1,1,1,1,0,TRIGGER
execute_undo_action,1,1,1,0,1,0,A_MUT_UNGATED
expire_agent_pending_actions,1,1,1,0,1,0,A_MUT_UNGATED
